id,code,name,old_hsn,new_hsn,old_mrp,new_mrp,old_sale_price,new_sale_price,old_purchase_price,new_purchase_price,old_tax_pct,new_tax_pct
53,8996001312506,MALKIST CHEESE CRACKRS FMLY PACK144G,19053100,19053100,45.00,45.00,45.00,45.00,36.00,36.00,12.00,5.00
75,8909250001107,JOJOBA F/W 120GM,3304,3304,229.50,270.00,229.50,255.00,191.30,234.78,18.00,18.00
77,8909250000568,WG NIGHT CREAM 60GM,3304,3304,445.50,495.00,445.50,420.00,371.30,396.00,18.00,18.00
79,8909250000452,SPF 50 50GM,3304,3304,391.50,450.00,391.50,400.00,326.30,371.74,18.00,18.00
131,8909106050945,KNORR GREEN CHILLI SAUCHE 90G,21039020,21039020,25.00,25.00,25.00,25.00,20.90,22.94,18.00,5.00
133,8909106050921,KN0RR RED CHILLI SAUCH 90G,21039020,21039020,25.00,25.00,25.00,25.00,22.90,22.94,18.00,5.00
135,8909106049697,GLOW & LOVELY RE-NEW BRIGHT 80GM,33049990,33049990,205.00,211.00,205.00,205.00,191.80,191.82,18.00,18.00
157,8909106043916,HORLICKS POUCH 450G VANILLA,19011090,19011090,215.00,220.00,215.00,215.00,202.00,201.67,18.00,18.00
169,8909106035980,SURF EXCEL EASY WASH 99/-,34025000,34025000,95.00,99.00,95.00,95.00,84.30,84.30,18.00,18.00
174,8909106035744,DOVE  HAIR FALL RESCUE SHAMPO 180ML,33051090,33051090,163.40,172.00,163.40,160.00,132.00,148.55,18.00,5.00
194,8909106031128,PEPSODENT 2IN 1150G,33061020,33061020,110.00,115.00,110.00,110.00,104.50,80.55,18.00,5.00
195,8909106031111,PEPSODENT 2IN1 80G,33061020,33061020,60.00,61.00,60.00,60.00,55.40,55.46,18.00,5.00
213,8909106025554,SURF EXCEL EASY WASH 1KG,34025000,34025000,135.00,140.00,135.00,135.00,125.30,127.78,18.00,18.00
227,8909106022874,VIM NEW 100+ 500ML,34025000,34025000,90.00,99.00,90.00,90.00,80.00,91.60,18.00,18.00
254,8909106010406,PEPSODENT GUMCARE 70G,33061020,33061020,61.00,66.00,61.00,65.00,55.40,60.00,18.00,5.00
283,8909081010170,TEDHE MEDHE XTRAA TEEKHA 20/-,21069099,21069099,20.00,20.00,20.00,20.00,18.00,16.10,12.00,5.00
307,8909081006869,CANDYMAN FRUITEE FUN,17049020,17049020,65.00,70.00,65.00,65.00,60.00,60.00,18.00,5.00
313,8909081005381,AASHIRVAAD MANGO LASSI 20/-,04039090,04039090,20.00,20.00,20.00,20.00,17.50,16.97,5.00,5.00
319,8909081004841,B NATURAL SHIN CHAN MANGO 10/-,22029920,22029920,10.00,10.00,10.00,10.00,9.00,7.49,12.00,5.00
351,89080795,MAGGI MASALA & MAGIC 5/-,09109100,09109100,5.00,5.00,5.00,5.00,4.00,4.50,18.00,5.00
354,89080528,NESCAFE ICED LATTE CAN 50/-,22029930,22029930,50.00,50.00,50.00,50.00,44.44,44.45,18.00,5.00
421,8908001158312,FOOG ROYAL,33072000,33072000,213.75,213.75,213.75,213.75,147.00,147.46,18.00,18.00
448,8908000295988,SWEET N SOUR 25G,210690,210690,10.00,10.00,10.00,10.00,8.00,8.00,18.00,5.00
451,8908000295902,LITE CHIRA 200G,210690,210690,57.00,60.00,57.00,57.00,43.90,48.00,5.00,5.00
453,8908000295780,MUKHAROCHAK SPECIAL PAPRI 400G,210690,210690,120.00,128.00,120.00,125.00,97.90,110.40,18.00,5.00
460,8908000295223,MUKHOROCHAK SALTY PEANUT 200G,21061000,21061000,67.00,70.00,67.00,67.00,55.90,56.00,18.00,5.00
468,8908000295049,SWEET N SOUR 200G,210690,210690,35.00,36.00,35.00,35.00,29.60,28.80,18.00,5.00
470,8908000295018,MUKHOROCHAK 100G,21069099,21069099,35.00,35.00,35.00,35.00,29.60,28.80,18.00,5.00
484,8907083131022,MAKHANA PERI PERI MASALA 12G,NA,NA,20.00,20.00,20.00,20.00,18.00,17.00,5.00,5.00
487,8907065243040,PURAMATE BAKING POWDER 400G,NA,NA,80.00,85.00,80.00,80.00,68.00,72.25,18.00,5.00
551,8906130900079,ORION CHOCOPIE,19059090,19059090,9.00,9.00,9.00,9.00,8.00,6.87,18.00,5.00
633,8906069570022,SATEYENDRA SATTO 500 GM,11063090,11063090,92.00,92.00,82.00,82.00,73.50,71.00,5.00,0.00
634,8906069570015,SALYENDRA SATTO 100,11063090,11063090,37.00,37.00,35.00,35.00,29.20,29.20,5.00,0.00
700,8906032016571,NUTRELA SOYA CHUNKS 200GM,21061000,21061000,47.00,50.00,47.00,47.00,40.00,38.10,5.00,5.00
729,8906016579993,HOE LITE MATCHIS BOX 10/-,NA,NA,10.00,10.00,10.00,10.00,7.00,7.88,5.00,5.00
811,8906008812824,FORTUNE INDORI POHA 500GM,19041020,19041020,65.00,75.00,65.00,65.00,45.10,42.99,5.00,5.00
813,8906008812084,FORTUNE SUJI 200G,11031120,11031120,15.00,20.00,15.00,16.00,10.70,11.00,5.00,5.00
820,8906007285018,FORTUNE CHANA BESAN 500GM,11063090,11063090,65.00,85.00,65.00,65.00,54.00,54.99,5.00,5.00
821,8906007285001,FORTUNE CHANA 200G,11063090,11063090,30.00,35.00,30.00,30.00,24.00,22.99,18.00,5.00
827,8906007280952,FORTUNE KACHI GHANI MUSTARD OIL 1L,15159040,15159040,170.00,205.00,170.00,175.00,166.00,169.99,5.00,5.00
1162,8904035425178,JOY VITAMIN C GOLW FACEWASH 150ML,34013090,34013090,225.25,285.00,225.25,250.00,132.50,213.74,18.00,18.00
1163,8904035425154,JOY UBTAN TAN REMOVAL 150ML,,,251.75,2855.00,251.75,250.00,0.00,213.74,18.00,18.00
1164,8904035423501,JOY ACTIVATED CHARCOAL FACE  WASH 50ML,34013090,34013090,90.00,99.00,90.00,90.00,74.20,74.25,18.00,18.00
1166,8904035421811,JOY PURE NEEM SKIN PUREFYNG 150ML,34013090,34013090,195.50,255.00,195.50,240.00,115.00,191.24,18.00,18.00
1168,8904035420807,JOY SKIN FRUITS FACE WASH 150ML,33049990,33049990,245.00,255.00,245.00,245.00,1225.60,191.24,18.00,18.00
1169,8904035420784,JOY SPOTS &TAN CLAR FACE WASH PAPAYA 50ML,34013090,34013090,80.00,90.00,80.00,80.00,67.50,67.50,18.00,18.00
1172,8904035417005,JOY PURE NEEM FACE WASH 50ML,,,80.00,78.00,80.00,75.00,63.75,63.75,18.00,18.00
1206,8904009605193,HUGGIES L9-14 KG 7PANTS,,,87.40,92.00,87.40,87.40,64.00,67.48,12.00,5.00
