id,code,name,old_hsn,new_hsn,old_mrp,new_mrp,old_sale_price,new_sale_price,old_purchase_price,new_purchase_price,old_tax_pct,new_tax_pct
97,8909106068070,LUX ULTIMATE GLOW JASMINE,34011190,34011190,10.00,10.00,10.00,10.00,8.90,8.95,18.00,5.00
111,8909106061439,BOOST MILKSHAKE CARAMEL,22029930,22029930,35.00,40.00,35.00,35.00,29.00,33.04,12.00,5.00
123,8909106055681,HORLICKS  MILKSHAKE 20/-,22029930,22029930,20.00,20.00,20.00,20.00,15.70,17.39,12.00,5.00
159,8909106041868,DOVE 40/-,34011190,34011190,40.00,40.00,40.00,40.00,34.00,35.19,18.00,5.00
176,8909106035126,WHEEL 800gm,34025000,34025000,60.00,64.00,60.00,60.00,54.00,57.01,18.00,18.00
209,8909106026124,KERATIN SMOOTH 85 ML,33051090,33051090,65.00,65.00,65.00,63.00,50.00,53.18,18.00,5.00
213,8909106025554,SURF EXCEL EASY WASH 1KG,34025000,34025000,140.00,135.00,135.00,135.00,127.78,127.78,18.00,18.00
221,8909106023741,SUNSILK BLACK SHINE SHAMPOO 80ML,33051090,33051090,52.00,54.00,52.00,52.00,41.70,44.18,18.00,5.00
253,8909106011038,SURF EXCEL 3KG,34025000,34025000,360.00,360.00,360.00,360.00,332.20,332.22,18.00,18.00
912,8904422710399,PATANJALI ALOVER JAL,NA,NA,105.00,110.00,105.00,105.00,95.00,77.89,18.00,18.00
913,8904422710382,ALOVERA GEL 60ML,33049910,33049910,52.25,52.25,52.25,52.25,35.00,34.53,18.00,18.00
929,8904422708075,SAUNDARIYA FACEWASH 60G,34013090,34013090,68.00,70.00,68.00,68.00,50.62,50.62,18.00,18.00
1351,8902982001032,ARTLINE SCALE 30CM,NA,NA,12.00,120.00,12.00,12.00,9.00,9.00,18.00,0.00
1941,8901531700303,SUTHOL 100ML NEEM,30049011,30049011,45.00,47.00,45.00,45.00,40.87,40.50,18.00,5.00
1947,8901531300107,BOROLINE 40GM,30049011,30049011,90.00,94.00,90.00,90.00,80.10,80.00,18.00,5.00
1948,8901531300091,BOROLINE ULTRA SMOOTH 20G,30049011,30049011,55.00,56.00,55.00,55.00,47.70,48.00,18.00,5.00
2307,8901287101010,MYSORE SANDAL GOLD 72 PER G,NA,NA,85.50,82.00,85.50,85.50,80.00,70.56,18.00,5.00
2308,8901287100419,MYSRE SNDL SP 150Gm,34011190,34011190,75.00,75.00,75.00,75.00,66.60,66.64,18.00,5.00
2623,8901157045116,GODREJ AER SPPRAY COOL,NA,NA,99.00,99.00,99.00,90.00,79.00,67.14,18.00,18.00
2624,8901157045109,GODREJ AER SPPRAY FOREST,NA,NA,99.00,99.00,99.00,90.00,79.00,67.14,18.00,18.00
2625,8901157045093,GODREJ AER SPPRAY ROSE,33074900,33074900,99.00,99.00,99.00,90.00,79.00,67.14,18.00,18.00
2632,8901157025194,HIT RED 400GM,38089199,38089199,250.00,280.00,250.00,250.00,236.30,213.56,18.00,18.00
2689,8901138512460,HIMALAYA NEEM FACE WASH 100ML,33049990,33049990,170.10,189.00,170.10,180.00,155.06,154.13,18.00,18.00
2691,8901138512187,HIMLAYA NEEM FACE WASH 50ML,33049990,33049990,85.50,90.00,85.50,85.50,73.80,73.96,18.00,18.00
2761,8901088726016,PARACHUT COCONUT OIL 175ML,33059011,33059011,107.00,107.00,96.22,105.00,96.30,96.22,5.00,5.00
2770,8901088712101,PARACHUTE JASMINE HAIR OIL 45ML,33059011,33059011,20.00,20.00,20.00,20.00,15.70,15.77,18.00,5.00
2813,8901088028097,NIHAR NATURALS 400ML,3305,3305,155.00,170.00,155.00,160.00,140.00,150.85,18.00,5.00
3261,8901030976087,HORLICKS 200 GM JAR,19019090,19019090,95.00,99.00,95.00,95.00,87.00,90.29,18.00,5.00
3270,8901030968242,RIN BAR 15GM,34011930,34011930,10.00,10.00,10.00,10.00,9.00,9.26,18.00,18.00
3279,8901030959257,SUNLIGHT 500GM,34025000,34025000,52.00,54.00,50.00,50.00,47.43,49.01,18.00,18.00
3439,8901030712999,DOVE 23/-,34011190,34011190,24.00,25.00,24.00,24.00,20.00,22.27,18.00,5.00
3451,8901030695490,SURF EXCEL MATIC TOP LOAD 500ML,NA,NA,130.00,135.00,130.00,130.00,125.00,125.00,18.00,18.00
3481,8901023030314,GOOD NIGHT COIL,38089191,38089191,40.00,45.00,40.00,40.00,35.00,16.87,18.00,18.00
3482,8901023029813,GOOD NIGHT AGARBATTI 1,38089191,38089191,110.00,120.00,110.00,110.00,85.00,82.00,5.00,18.00
3488,8901023029486,GODREJ SELFIE SHAMPOO 15/-,NA,NA,15.00,15.00,15.00,15.00,12.00,9.78,18.00,18.00
3493,8901023028519,CINTHOL COOL SOAP 10/-,34011190,34011190,10.00,10.00,10.00,10.00,8.75,8.38,18.00,18.00
3495,8901023028434,GODREJ POWER POCKET LOMON  10G,33074900,33074900,64.00,70.00,64.00,65.00,51.40,48.05,18.00,18.00
3497,8901023025846,GODREJ POWER POCKET JASMINE 10G,33074900,33074900,60.00,70.00,60.00,65.00,51.40,48.05,18.00,18.00
3498,8901023025181,GOODREJ POWER POCKET LAVENDER 10G,33074900,33074900,60.00,70.00,60.00,65.00,51.40,48.05,18.00,18.00
3511,8901023015021,GOOD KNIGHT FABRIC ROLL -ON,38089191,38089191,83.00,85.00,83.00,83.00,72.00,60.94,18.00,18.00
3513,8901023012877,GODREJ AER SPPRAY JASMINE,,,99.00,99.00,99.00,90.00,79.00,67.14,18.00,18.00
