id	name	code	hsn	tax_pct
47	SHALIMAR HERBAL AGARBATTI	9185110826267	33074100	5.00
48	RED BULL125/-	90162602	322029990	28.00
49	RED BULL	9002490224844	22021090	28.00
50	MALKIST CHOKI CHOKI ROLLZ	8996001357194	18069020	18.00
51	MALKIST CAPPUCCINO BISCUIT	8996001312667	19059020	18.00
52	MALKIST SUGAR CRACKER	8996001312650	19059020	5.00
53	MALKIST CHEESE CRACKRS FMLY PACK144G	8996001312506	19053100	5.00
54	MALKIST DOUBLE  CHOCOLATEY	8996001312490	19059020	18.00
55	MALKIST DOUBLE CHOCOLATEY	8996001305706	19059020	18.00
56	MALKIST CHEESE	8996001305683	19059020	12.00
57	DRY DATES CHOARA	8987330397050	08041090	12.00
58	YUMTAM PASTA SPRING 1KG	8939998126992	19021900	12.00
59	YUMTAM PASTA MACRONI 1KG	8939998126510	19021900	12.00
60	APPALAM PAPAD	8939117927400	19059040	0.00
61	KEWRA WATER 200ML	8939111050142	33019019	18.00
62	ROSE WATER 200ML	8939111049634	33019019	18.00
63	KEWRA WATER 300ML	8939111047968	33019019	18.00
64	ROSE WATER 300ML	8939111047890	33019019	18.00
65	LOTUS SAFE SUN  FUCE WASH GEL 100G	8909250005556		18.00
66	WG GEL CREAM 35GM	8909250004870	33049990	18.00
67	LOTUS SAFE SUN SPF 5015G	8909250004771	33049990	18.00
68	SPF 60 ULTRAX MATTE 50GM	8909250004764		18.00
69	WG GEL CREAM 60GM	8909250004368	3304	18.00
70	KIDS SPF 25 100GM	8909250004146		18.00
71	SPF50 100GM	8909250004061	3304	18.00
72	NEEM F/W 120GM	8909250001145	33049990	18.00
73	TEA TREE F/W 80GM	8909250001138	3304	18.00
74	JOJOBA F/W 80GM	8909250001114	3304	18.00
75	JOJOBA F/W 120GM	8909250001107	3304	18.00
76	LOTUS JOJOBAWASH  80G	8909250001091	33049990	18.00
77	WG NIGHT CREAM 60GM	8909250000568	3304	18.00
78	WG SCURB 100GM	8909250000513	33049990	18.00
79	SPF 50 50GM	8909250000452	3304	18.00
80	SPF 40 50GM	8909250000407	3304	18.00
81	WG NIGHT CREAM 40GM	8909250000001	33049990	18.00
82	VIM LEMONS 50/-	8909106083691	34054000	18.00
83	TAAZA ELAICHI CHASKA 12M	8909106079519	09083110	5.00
84	LIFEBUOY  ICE BATH	8909106078994	34011190	18.00
85	CLOSEUP  80G	8909106071759	33061020	18.00
86	CLOSEUP 45G	8909106071612	33061020	18.00
87	CLOSEUP 45GM	8909106071599	33061020	18.00
88	SUNLIGHT 10/-	8909106069688	34025000	18.00
89	KISSAN CHATPATI HARI CHUTNEY 200G	8909106069091	21039090	12.00
90	KISSAN CHATPATI HARI CHUTNEY 100G	8909106069084	21039090	12.00
91	KISSAN TEEKHI LEHSUN MRICH CHUTNEY 100G	8909106069060	21039090	12.00
92	KISSAN IMLI KHA JOOP CHYTNEY 200G	8909106069053	21039090	12.00
93	KISSAN  IMLI KHAJOOR CHUTNEY 100G	8909106069046	21032000	12.00
94	HORLICKS 500JAR	8909106068810	19019090	18.00
95	LUX VITAMIN C+E 95/-	8909106068124	34011190	18.00
96	LUX ROSE GLOW 3+1FREE	8909106068117	34011190	18.00
97	LUX ULTIMATE GLOW JASMINE	8909106068070	34011190	18.00
98	BRU GOLD 100G	8909106067646	21011110	18.00
99	LIFEBUOY 100G	8909106066854	34011190	18.00
100	LIFE BOY SOAP 10/-	8909106066502	34011190	18.00
101	VIM BAR TUB	8909106066441	34054000	18.00
102	VIM 500G	8909106066434	34054000	18.00
103	CLINIC PLUS+ SHAMPOO 355ML	8909106066007	33051090	18.00
104	CLINIC PLUS 175ML	8909106065949	33051090	18.00
105	CLINIC PLUS STRONG &LONG + SHAMPOO 80ML	8909106065932	33051090	18.00
106	POND'S COLD CREAM  27ML	8909106064638	34013090	18.00
107	SUNLIGHT 500G	8909106064294	34025000	18.00
108	SUNLIGHT 1KGG	8909106064287	34025000	18.00
109	PONDS HYDRA CREAM 30ML	8909106063846	33049910	18.00
110	BOOST MILKSHAKE BADAM	8909106061446	19019090	18.00
111	BOOST MILKSHAKE CARAMEL	8909106061439	22029930	18.00
112	LUX SMOOTH &RADIANT 80G	8909106059986	34011190	18.00
113	POND PINK LILY	8909106057647		18.00
114	POND'S DREAMFLOWER 300G	8909106057630	33049120	18.00
115	POND ALOE COOLING	8909106057579		18.00
116	POND LAVENDER BIOOM	8909106057470		18.00
117	PONDS  MAGIC LAVENDER 40G	8909106057463		18.00
118	VASELINE LOTION 400ML	8909106056305	33049930	18.00
119	VASELINE DEEP MOISTURE  LOTION 200ML	8909106056275	33049930	18.00
120	VASELINE LOTION 85ML	8909106056251	33049930	18.00
121	VASELINE DEEP MOSTURI LOTION 40ML	8909106056237	33049930	18.00
122	KISSAN CHEF SOLUTIONS KETICHUP  930G	8909106055742	NA	12.00
123	HORLICKS  MILKSHAKE 20/-	8909106055681	22029930	18.00
124	PONDS BODY LOTION 90ML	8909106055346	33049930	18.00
125	PONDS BODY LOTION 275GM	8909106055247	33049930	18.00
126	CLOSEUP 90GM	8909106053649	33061020	18.00
127	CLOSEUP 150GM	8909106053564	33061020	18.00
128	LUX SANDAL CLEAR GLOW	8909106052260	34011190	18.00
129	SURF EXCEL MATIC FRONT LOAD 1	8909106051102	34025000	18.00
130	SURF EXCEL MATIC TL 1L	8909106051096	34025000	18.00
131	KNORR GREEN CHILLI SAUCHE 90G	8909106050945	21039020	5.00
132	KNORR DARK SOYA SAUCH 85G	8909106050938		18.00
133	KN0RR RED CHILLI SAUCH 90G	8909106050921	21039020	5.00
134	SURF EXCEL  MATIC LIQ 1L	8909106050433	34022090	18.00
135	GLOW & LOVELY RE-NEW BRIGHT 80GM	8909106049697	33049990	18.00
